wordText,phoneticScript,syllable,weekNumber,dayNumber,partOfSpeech,definition,example1,example2,synonym1,synonym2,synonym3,synonym4,telugu,tamil,hindi,malayalam
raid,reɪd,reyd,3,4,NOUN,"a short sudden attack, usually by a small group of people",The drugs were found during a police raid on the house.,,hit-and-run raid,assault,surprise attack,,"ఆక్రమించు, ముట్టడించు, సోదా చేయు",,"हमला,आक्रमण,चढाई करना.",
refugee,/ˌrɛf yʊˈdʒi/,ref-yoo-jee,3,1,NOUN,"A person who has been forced to leave their country in order to escape war, persecution, or natural disaster.",Thousands of refugees fled across the border.,,displaced person,escapee,returnee,,"శరణార్థి, శరణాగతుడు, కాందిశీకుడు.",,"आश्रित , पनाहगीर , शरणागत",
sovereignty,/ˈsɒv rɪn ti/,sov-rin-tee,3,5,NOUN,Supreme power or authority.,Talks are being held about who should have sovereignty over the island.,,authority,influence,jurisdiction,,"ప్రభుత్వము, ఏలుబడి, రాజ్యము, అధికారము,",,"प्रभुता , प्रभुत्व ,  प्रभुसत्ता",
span,/spæn/,span,3,4,NOUN,the period of time that sometimes exists or happens.,an average life span of 70 years,,distance,extent,range,,"జంట,జేన  ప్రాదేశము,స్వల్పకాలము",,"अवधि ,  पाट ,  फैलाव",
stuffing,ˈstʌfɪŋ,stuhf-ing,3,5,NOUN,material that is pushed inside something to make it firm.,sage and onion stuffing.,,"filling, forcemeat, farce, salpicon.",,,,"కూరేటిది, నించబడేటిది",,"भराई,भरी जाने वाली सामग्री.",
tenure,/ˈtɛn yər/,ten-yer,3,3,NOUN,The conditions under which land or buildings are held or occupied.,"During his tenure as dean, he had a real influence on the students.",,holding,occupancy,residence,,"అవధి, పరిమితి, గడువు,అవధి, పరిమితి, గడువు.",,"अधिकार, पदावधि,कार्यकाल",
unbridle,/ʌnˈbraɪd l/,uhn-brahyd-l,3,5,VERB,Free (someone or something) from control or restraint.,he unbridled his mare and let her roam’,,discharge,release,set free,,కళ్లెము తీసివేయు.,,"बेलगाम होना, स्वच्छंद होना",
verdict,ˈvɜr dɪkt,vur-dikt,3,1,NOUN,A decision on an issue of fact in a civil or criminal case or an inquest.,the jury returned a verdict of not guilty.,,"udgement, adjudication, adjudgement, decision, finding, ruling.",,,,"తీర్పు, నిర్ణయం,ఉత్తరువు,ఇచ్చిన అభిప్రాయము.",,"जूरी का निर्णय,पंचायत का विचार.",
victory,,,3,2,NOUN,"An act of defeating an enemy or opponent in a battle, game, or other competition.",A goal in the last half minute assured victory and the World Cup for the Mexicans.,,achievement,favourable result,successful,,"విజయం, గెలుపు, సఫలత.",,"अभिभावकता, जीत, विजय",
abuses,əˈbjuːz,uh-byooz,4,1,VERB,Use (something) to bad effect or for a bad purpose; misuse.,I never expected that he would abuse the trust I placed in him.,,misapply,mishandle.,misuse,,"తిట్టు, దూషించు, నిందించు, దుర్వినియోగం చేయు.",,"गाली ,अपशब्द,दुर्व्यवहार",
analyse,ˈæn lˌaɪz,an-l-ahyz,4,4,VERB,"to study or examine something in detail, in order to discover more about it:",we need to analyse our results more clearly,,examine,inspect,survey,,"విశ్లేషించు, వివరించు.",,"विश्लेशण करना,छान-बीन करना",
appellant,əˈpɛl ənt,uh-pel-uh nt,4,5,NOUN,A person who applies to a higher court for a reversal of the decision of a lower court.,The jury acquitted the appellants on the conspiracy as it was originally charged.,,petitioner,prayerful,,,"దరఖాస్తుదారు, ఫిర్యాదుదారు,అప్పీలుదారు.",,"अपील करने वाला,पुनर्विचार का प्रार्थी",
assault,əˈsɔlt,uh-sawlt,4,1,VERB,Make a physical attack on.,he pleaded guilty to assaulting a police officer.,,hit,physically attack,strike,,"దాడిచేయు, కొట్టు, దౌర్జన్యం చేయు.",,"हमला,धावा,प्रयास",
blame,bleɪm,bleym,4,5,VERB,Feel or declare that (someone or something) is responsible for a fault or wrong.,the inquiry blamed the train driver for the accident.,,place the blame on,hold liable,hold responsible,,"తప్పుమోపుట   నిందమోపుట.ఈసడించు, దూషించు",,"निंदा करना,दोष लगाना,कलंक.",
boozer,buz,booz,4,1,NOUN,A person who drinks large quantities of alcohol.,Street boozers on a Swindon estate could soon have their drink taken off them by police,,,,,,,,"मद्यप,पियक्कड़,शराबखोर",
butcher,ˈbʊtʃ ər,boo ch-er,4,1,NOUN,A person who kills people indiscriminately or brutally.,"He is a butcher, he tortures people, kills them personally, Mr Rumsfeld said in Atlanta.",,"meat market person,boner,slaughter,. skinner.",,,,"కటికవాఁడు, కసాయివాఁడు,నిర్దయగా చంపు/నరుకు.",,"कसाई,हत्यारा,बूचड़",
charged,tʃɑːdʒd,chahrjd,4,3,ADJECTIVE,"Filled with excitement, tension, or emotion.",the highly charged atmosphere created by the boycott,,"tense, electrifying,overflowing with.",,,,"ఆవేశపూరితమైన,విద్యుదావిష్ట",,"आवेशित, प्रभारित",
compensation,ˌkɒm pənˈseɪ ʃən,kom-puh n-sey-shuh n,4,3,NOUN,"Something, typically money, awarded to someone in recognition of loss, suffering, or injury.",he is seeking compensation for injuries suffered at work’,,payment,recompense,remuneration.,,"పరిహారం, నష్టపరిహారం, ప్రతికరణం.",,"प्रतिफल,बदला",
conservative,kənˈsɜr və tɪv,kuh n-sur-vuh-tiv,4,4,ADJECTIVE,Averse to change or innovation and holding traditional values.,Older people tend to be more conservative and a bit suspicious of anything new.,,conventional,orthodox,stable,,"సంరక్షించే,సంప్రదాయవాది, యథాతథవాది.",,"अनुदार, रूढ़िवादी, सतर्क",
conviction,kənˈvɪk ʃən,kuh n-vik-shuh n,4,3,NOUN,A formal declaration by the verdict of a jury or the decision of a judge in a court of law that someone is guilty of a criminal offence.,she had a previous conviction for a similar offence.,,"declaration of guilt,pronouncement of guilt, sentence, judgement.",,,,"దోష నిర్ధారణ, దృఢ విశ్వాసం, శిక్ష, నమ్మకం.",,"अपराध स्थापन,दृढ विश्वास,अपराधी ठहराना.",
defend,/dɪˈfɛnd/,dih-fend,4,1,VERB,to protect someone or something against attack or criticism; to speak in favour of someone or something.,How can we defend our homeland if we don't have an army?,,protect,safeguard,secure,,"ప్రతివాదంచేయు; కాచు, కాపాడు, రక్షించు.",,"बचाना, समर्थन करना, रक्षा करना",
deficit,ˈdɛf ə sɪt,def-uh-sit,4,2,NOUN,"The amount by which something, especially a sum of money, is too small.",The value for the General Fund deficit is based on deficits equal to 5% of GDP.’,,shortage,shortfall,slippage.,,"లోటు, ఆదాయాన్ని మించిన వ్యయం,తక్కువ, లోపము, వెలితి.",,"अभाव, घाटा, कमी",
delve,dɛlv,delv,4,3,VERB,Reach inside a receptacle and search for something.,The movie delves on justice for women.,,"dig, search through, scrabble about in.",,,,"బాగా పరిశ్రమించు, త్రవ్వు, గుంటచేయు.",,"खोजना,खूब छानबीन करना,फावडे से खोदना.",
embitter,,,4,2,VERB,Make (someone) feel bitter or resentful.,"The strike costs GM $2 billion, embitters workers, and ripples across the U.S. economy.",,make rancorous,make bitter,poison,,"కష్టం కలిగించు,చేదుపరచు",,"बिगाड़ना,कटु बनाना",
embolden,/ɛmˈbəʊld(ə)n/,em-bohl-duh n,4,5,VERB,to make someone brave.,"Emboldened by drink, he walked over to speak to her.",,encourage,give courage,strengthen,,"ధైర్యం ఇచ్చు, నమ్మకం కలిగించు.",,"ढाढ़स देना , साहस देना  ,प्रोत्साहित करना",
felicitated,/fɪˈlɪs ɪˌteɪt/,fi-lis-i-teyt,4,2,VERB,to praise someone and say that you approve of or are pleased about aspecial or unusual achievement.,The entire organization should be felicitated.,,compliment,pay tribute to,praise,,"సన్మానించు, సత్కరించు, అభినందించు.",,"अति प्रसन्न करना, अभिनंदन करना.",
gathered,,,4,1,VERB,"to collect several things, often from different places or people.",We gathered blueberries from the bushes,,assemble,collect,get together,,"పోగుచేయు, జమచేయు, సేకరించు, ఏకత్రపరచు.",,"इकट्ठा, मिलना, बटोरना",
hijack,ˈhʌɪdʒak,hahy-jak,4,3,VERB,"to take control of an aircraft or other vehicle during a journey,especially using violence.","Two men hijacked a jet travelling to Paris and demanded $125,000.",,commandeer,seize,take over,,దారిమళ్ళింపు,,"डाका डालना, लूटना",
inconsolable,/ˌɪn kənˈsoʊ lə bəl/,in-kuh n-soh-luh-buh l,4,2,ADJECTIVE,(of a person or their grief) not able to be comforted or alleviated.,They were inconsolable after the death of their young son.,,devastated,heartbroken,unable to be comforted,,"ఊరడించగూడని, ఓదార్చగూడని, ఆరని, తీరని,ఐకమత్యములేమి, అకటావికటము.",,"गमगीन,शोकाकुल.",
incorporate,/verb ɪnˈkɔr pəˌreɪt/,in-kawr-puh-reyt,4,2,VERB,to include something as part of something larger:,This aircraft incorporates several new safety features.,,consolidate.,include,integrate,,"చేర్చు, అంతర్భూతం చేయు, కలుపు.",,"सम्मिलित करना, इकट्ठा करना",
landscape,/ˈlændˌskeɪp/,land-skeyp,4,2,NOUN,"a large area of countryside, especially in relation to its appearance.",The cathedral dominates the landscape for miles around.,,environment.,scenery,topography,,"ప్రకృతి దృశ్యం/చిత్రం, ఏకస్థల చిత్రపటం,ప్రదేశమును కనుపఱౘు, పటము.",,"परिदृश्य , भूदृश्य",
marvellous,/ˈmɑr və ləs/,mahr-vuh-luh s,4,4,ADJECTIVE,extremely good.,He's done a marvellous job of the decorating.,,amazing,awesome,staggering,,"విస్మయకర, అద్భుత.",,"अद्भुत,आश्चर्यजनक, चमत्कारी",
mortgage,/ˈmɔr gɪdʒ/,mawr-gij,4,4,VERB,Convey (a property) to a creditor as security on a loan.,‘a heavily mortgaged farm’,,guarantee,pawn,put up as collateral,,"తాకట్టు, తనఖా, కుదువ, ఆడు మానం.",,"धरना, गहन रखना, बंधक रखना",
paradise,/ˈpær əˌdaɪs/,par-uh-dahys,4,5,NOUN,a place or condition of great happiness where everything is exactly as you would like it to be.,His idea of paradise is to spend the day lying on the beach.,,heaven,the heavenly kingdom,the promised land,,"స్వర్గము,దివ్యోద్యానము",,"परलोक, सुखभवन",
prophecy,/ˈprɒf ə si/,prof-uh-see,4,4,NOUN,"something that is declared by a prophet, especially a divinely inspired prediction, instruction, or exhortation.",He could make prophecies and they would always come true.’,"This was predicted in many prophecies, old and recent, throughout the world.",forecast,prediction,,,"భవిష్యత్తును చెప్పుట, భవిష్యవాణి",,,
rampant,/ˈræm pənt/,ram-puh nt,4,5,ADJECTIVE,"happening a lot or becoming worse, usually in a way that is out of control.",political violence was rampant,,pervasive.,uncontrolled,widespread,,"ప్రబలిన, హద్దుమీరిన, అదు పులో లేని, వృద్ధిచెందిన, కట్టడిలేని.",,"आक्रामक, व्याप्त",
ravage,ˈræv ɪdʒ,rav-ij,4,5,VERB,Cause severe and extensive damage to.,The area has been ravaged by drought/floods/war.,,demolish,destroy,wipe out,,"దోపిడీ, ధ్వంసం, సర్వనాశనం, నష్టం; ధ్వంసంచేయు, కొల్లగొట్టు, వ్యర్థం చేయు.",,"नाश, विध्वंस, विनाश",
reckon,/ˈrɛk ən/,rek-uh n,4,1,VERB,.Establish by calculation.,The authors reckon that public sector debt is over 65% of GDP.,,compute,put a figure on,quantify.,,"ఎంచు, పరిగణించు, లెక్కించు, గణించు.",,"संख्या करना, गिनना",
summon,,,4,5,VERB,Order (someone) to be present.,We were summoned to the headmaster's office,,ask for,call for,demand the presence of.,,"పిలుచు, పిలిపించు, ఆజ్ఞాపించు, సమావేశపరచు,ఫర్మానా, ఆజ్ఞాపత్రిక.",,"पुकारना, बुलवाना",
supposed,/səˈpoʊzd/,suh-pohzd,4,4,ADJECTIVE,"Generally assumed or believed to be the case, but not necessarily so.",The cost of the plan far outweighs its supposed benefits.,,apparent,rumoured,specious,,"కల్పిత, భావిత, ఆరోపిత, ఊహించిన,ఎంచిన, అనుకొన్న, ఊహించబడ్డ.",,"अपेक्षित, काल्पनिक, कल्पित",
surcharge,ˈsəːtʃɑːdʒ,sur-chahrj,4,4,NOUN,"a charge in addition to the usual amount paid for something, or the amount already paid.",we guarantee that no surcharges will be added to the cost of your holiday,,addition,increase,overcharge,,"అదనపు/అధిక పన్ను, అతిభారం.",,"अधिभार,अधिशुल्क लेना ,अतिवेशित करना .",
terrains,,,4,3,NOUN,"an area of land, when considering its natural features.",The car handles particularly well on rough terrain.,,ground,land,territory,,"భూమి, మైదానం.",,"प्रदेश, भूभाग ,मैदान",
vendor,ˈvɛndə,ven-der,4,3,NOUN,someone who is selling something.,an Italian ice-cream vendor.,,salesman.,salesperson,seller,,విక్రేతలు,,"व्यापारिक मशीन,बेचनेवाला,विक्रयी",
violation,/ˌvaɪ əˈleɪ ʃən/,vahy-uh-ley-shuh n,4,2,NOUN,"an action that breaks or acts against something, especially a law,agreement, principle, or something that should be treated withrespect:",the aircraft were in violation of UN resolutions’,,breaking,contravention,infraction,,ఉల్లంఘనము; అతిక్రమణము; భంగము; ధిక్కారము.,,"अतिक्रमण, उल्लंघन , बिगाड़ना",
accessibility,əksɛsɪˈbɪlɪti,ak-ses-uh-buh l ty,5,1,NOUN,The quality of being able to be reached or entered.,Accessibility is one of the most important aspects of textual analysis.,,approachability,ease of access,obtainability,,"సుగమమైన, సులభమైన, ప్రవేశయోగ్యమైన, ప్రవేశ/ దర్శన సౌలభ్యం",,"उपलब्धता,सुलभता,प्रवेर्शयोग्यता",
amass,,,5,1,VERB,Gather together or accumulate (a large amount or number of material or things) over a period of time.,he amassed a fortune estimated at close to a million pounds’,,assemble.,collect,gather,,"సంపాదించు, పొందు, సమాచారం పొందు,పోగుచేయు, చేర్చు",,"एकत्र करना, संग्रह करना, समेटना",
applause,/əˈplɔːz/,uh-plawz,5,5,NOUN,"The action or sound made by a number of people clapping their hands repeatedly to show their enjoyment or approval, esp. of a performance or speech.",His speech met with loud applause.,There is one character in the film who gets applause at the end for his performance.,cheering,clapping,,,"హర్షధ్వానం,శ్లాఘన, మెప్పు.",,"तारीफ करना,वाहवाही करना","അഭിനന്ദനം, അനുമോദനം"
attempt,əˈtɛmpt,uh-tempt,5,4,VERB,"to try to do something, especially something difficult.","He attempted a joke, but no one laughed.",,"endeavour,",make every effort.,set out,,యత్నము; ప్రయత్నము.,,,
bribe,/braɪb/,brahyb,5,1,NOUN,"money or a present that you give to someone so that they will do something for you, usually something dishonest:",He was accused of accepting/taking bribes from wealthy businessmen.,,incentive,inducement,,,"పరిదానము,లంచము.,",,"उत्कोच, प्रलोभन , घूस",
buzz,bʌz/,buhz,5,1,VERB,"a continuous, low sound.",Something was buzzing around me as I tried to sleep,,"humming noise, whisper, rumour, report,hum, seethe.",,,,"విసిగించు; (వదంతులు) పుట్టించు, గోల పెట్టు,గుసగుస.",,"गुजारना,भिनभिनाना.",
cardiovascular,ˌkɑr di oʊˈvæs kyə lər,kahr-dee-oh-vas-kyuh-ler,5,1,ADJECTIVE,Relating to the heart and blood vessels.,increased risk of death from cardiovascular disease.,,circulatory blood vessel blown,queenly,,,హృద్రోగాలు,,,
chastity,/ˈtʃæs tɪ ti/,chas-ti-tee,5,2,NOUN,"The state or practice of refraining from extramarital, or especially from all, sexual intercourse.","As a monk, he took vows of chastity, poverty, and obedience.",,chasteness,self-denial,self-restraint,,"పవిత్రత, సచ్ఛీలత,పరిశుద్ధత్వము.",,"इंद्रिय-निग्रह , पवित्रता",
clout,/klaʊt/,klout,5,3,NOUN,power and influence over other people or events,The Queen may have privilege but she has no real political clout.,,clip.,slap,spanking,,"అధికారం, పలుకుబడి, అంగబలం, ఒత్తిడి, దెబ్బకొట్టేశక్తి, ప్రభావం, ప్రభావితం చేయు.",,"लत्ता , चिथड़ा , घूंसा",
cobble,/ˈkɒb əl/,kob-uh l,5,3,VERB,Roughly assemble or produce something from available parts or elements.,The cart rumbled over the cobbles.,,contrive,put together hastily,scribble,,"నేలమీద పరిచే గుండ్రని రాళ్ళు,బాగు, రాయి, గట్టుపై, పిచ్, కంకర.",,"गांठना, मरम्मत करना, छोटे पत्थर बिछाना",
deny,dɪˈnaɪ,dih-nahy,5,2,VERB,to refuse to permit or allow someone to do something.,She denied herself the things that would make her happy.,,challenge,disagree with,oppose,,"ఖండించు, తిరస్కరించు, నిరాకరించు, కాదను",,"खण्डन करना,बात काटना,नकारना.",
depict,/dɪˈpɪkt/,dih-pikt,5,3,VERB,"Represent by a drawing, painting, or other art form.","In the book, he depicts his father as a tyrant.",,illustrate,render.,represent,,"చిత్రించు, వర్ణించు, దర్శించు, వివరించు.",,"खींचना , दर्शाना , रंगना , लिखना",
deplete,dɪˈplit,dih-pleet,5,5,VERB,"to reduce something in size or amount, especially supplies of energy,money, etc.",The illness depletes the body of important vitamins.,,consume,exhaust,expend,,"ఖాళీ చేసిన, క్షీణ, తరిగిపోయిన,ఖర్చుచేయు.",,"समाप्त करना,कम कर देना,उंडेलना",
embraced,ɛmˈbreɪs,em-breys,5,2,VERB,formal to accept something enthusiastically.,This was an opportunity that he would embrace.,,"hug, squeeze,hold in one's arms, take in one's arms, hold,  cuddle.",,,,"అం గీకరించుట,స్వీకరించు, అవలంబించు,కౌగిలించుకొనుట,ఆలింగనముచేయు.",,गले लगा लिया,
emerge,/ɪˈmɜːdʒ/,ih-murj,5,5,NOUN,To become known or develop as a result of something.,casey affleck emerges from brother Ben’s   shadow.,,become visible.,come out,,,"ఉదయించు, ఉద్భవించు,",,,
empathise,/ˈɛm pəˌθaɪz/,em-puh-thahyz,5,1,VERB,Understand and share the feelings of another.,It's very easy to empathize with the characters in her books.,,be in sympathy.,feel at one,feel togetherness,,,,"तरस खाना , समानुभूति होना",
enclosure,ɛnˈkloʊ ʒər,en-kloh-zher,5,3,NOUN,an area surrounded by fences or walls.,an enclosure for the horses.,,compound,paddock,yard,,"ఆవరణం, జతచేసినది, కంచె, మూత, ప్రవారి.",,"दीवार, अनुलग्नक",
ferocious,/fəˈroʊ ʃəs/,fuh-roh-shuh s,5,2,ADJECTIVE,frightening and violent.,The animal is a most ferocious and savage looking one.’,,fierce,murderous,wild,,"క్రూరమైన,నిర్దయ,ఉగ్రమైన, భయంకరమైన, భీకరమైన.",,"उग्र , उद्दंड , कठोर",
gel,/dʒɛl/,jel,5,2,NOUN,"a thick, clear, liquid substance, especially one used on the hair or body.","The clear gel is a skin prep, shaving gel and aftershave lotion.’",,coagulate,congeal.,thicken,,జెల్,,"जेल  ,तरल  ,जैल  ,गाढ़ा होना",
hindsight,/ˈhaɪndˌsaɪt/,hahynd-sahyt,5,3,NOUN,the ability to understand an event or situation only after it has happened.,"In hindsight, it would have been better to wait",,looking back,retrospect,return,,అర్థం,,"दूरदर्श  ,मसा  ,पश्च दृष्टि",
inebriate,/ɪnˈi briˌeɪt/,in-ee-bree-eyt,5,1,VERB,having drunk too much alcohol.,"In her inebriated state, she was ready to agree to anything.",,drunken,intoxicated,the worse for drink,,"మట్టుగా వుండే, మదించిన, మయికముగా వుమడే.",,"मत्त करना,नशवाला करना",
infirmity,/ɪnˈfɜr mɪ ti/,in-fur-mi-tee,5,2,NOUN,"illness, especially for long periods or because of old age.",old age and infirmity come to men and women alike’,,hesitation,uncertainty,weakness,,"లోపం, బలహీనత, అనారోగ్యం,దౌర్భల్యము, నిస్త్రాణ, రోగము, నలి.",,"अशक्तता,दौर्बल्य",
leading,ˈli dɪŋ,lee-ding,5,2,ADJECTIVE,very important or most important,a number of leading politicians.,,chief,ruling.,superior,,"ఆధిక్యంలో ఉన్న,ముఖ్యమైన, ప్రధానమైన.",,"प्रथम,प्रमुख",
mash,maʃ/,mash,5,4,VERB,to beat or crush something into a soft mass.,"Mash the potatoes, adding warm milk and    Butter.",,"crush, bruise, reduce to a soft pulpy state.",,,,"తొక్కుట, నలగకొట్టుట,మెదుపుట,రుబ్బుట,",,"एक मिश्रण, दलना,कुचलना.",
nerve-wracking,/ˈnɜrvˌræk ɪŋ/,nurv-rak-ing,5,4,ADJECTIVE,Causing stress or anxiety.,"I had to go out and find a new job, which is always a nerve-racking experience.",,taxing,demanding,difficult,,నరాల రాపిడి.,,तनावपूर्ण,
paramount,/ˈpær əˌmaʊnt/,par-uh-mount,5,4,ADJECTIVE,More important than anything else; supreme.,Everybody agrees that education is the paramount issue.,,most important,of prime importance,of supreme importance.,,"అతి ముఖ్యమైన, సర్వోన్నత,అసమానమైన, ప్రబలమైన.",,"प्रमुख, परम,सुप्रीम",
pursuit,/pərˈsut/,per-soot,5,5,NOUN,"The act of trying to achieve a plan, activity, or    situation, usually over a long period of time.",The company is ruthless in its pursuit of profit.,,hunt,chase,search,,"అన్వేషణ, అనుసరణ",,,
racial,ˈreɪ ʃəl,rey-shuh l,5,5,ADJECTIVE,happening between people of different races.,racial discrimination/equality,,ethnic,ethnological.,race-related,,"జాతి సంబంధి, వంశీయ, జాతిపరమైన.",,"जातीय ,जातिगत ,प्रजातीय",
subscribe,/səbˈskraɪb/,suh b-skrahyb,5,4,VERB,"Arrange to receive something, typically a publication, regularly by paying in advance.",subscribe to the magazine for twelve months and receive a free limited-edition T-shirt’,,buy regularly,contract to buy.,read regularly,,"చందాదారునిగా చేరడం, అంగీ కరించు, సంతకంచేయు.",,"सहमत होना,  समर्थन करना ,  हस्ताक्षर करना",
subsequent,ˈsʌb sɪ kwənt,suhb-si-kwuh nt,5,4,ADJECTIVE,happening after something else.,The book discusses his illness and subsequent resignation from politics.,,next.,to come,upcoming,,"తరువాతి, అనంతరపు, పిమ్మటి, వెనుకటి, దరిమిలా,తదుపరి.",,"अनुवर्ती,आगामी,पिछला",
substantial,/səbˈstæn ʃəl/,suh b-stan-shuh l,5,5,ADJECTIVE,relating to the main or most important things being considered.,The committee was in substantial agreement.,a row of substantial Victorian villas.,significant,strong,,,"వాస్తవమైన,  దృఢమైన.",,,
substantive,/ˈsʌb stən tɪv/,suhb-stuh n-tiv,5,5,ADJECTIVE,"important, serious, or related to real facts.",Substantive research on the subject needs to be carried out.,,essential,in essence,,,"విశేష్యం, యదార్థమైన,స్థిరమైన.",,"मूल, तात्विक",
threaten,ˈθrɛt n,thret-n,5,4,VERB,to be likely to cause harm or damage to something or someone.,the men threatened staff with a handgun,,endanger,imperil,menace,,"బెదిరించుట, గదమాయించుట, గద్దించుట.",,"डराना,डांटना,धमकाना.",
valedictory,/ˌvæl ɪˈdɪk tə ri/,val-i-dik-tuh-ree,5,3,ADJECTIVE,"relating to saying goodbye, especially formally.",‘The festival's valedictory function will be held on May 9,,departing,farewell,going away,,"సెలవుపుౘ్చుకొని పోయెడు, ఎడఁబాయునప్పుడు వందనమును దెలిపెడు,వీడ్కోలు.",,"आशीर्वादात्मक,  स्वस्तिवाचनिक , विदाई भाषण संबंधी",
viral,ˈvaɪ rəl,vahy-ruh l,5,3,ADJECTIVE,"spreading or becoming popular very quickly through communication from one person to another, especially on the internet.",her story posted on humans of Bombay went viral.,,,,,,ఇ౦టర్నట్ ద్వారా త్వరగా వ్యాప్తి చె౦దు,,,
accurate,/ˈæk yər ɪt/,ak-yer-it,6,1,ADJECTIVE,"correct, exact and without any mistakes.",The figures they have used are just not accurate.,,clear-cut,meticulous,perfect,,"ఖచ్చితమైన, సరి, సరియైన, యథార్థ, నిర్దిష్ట.",,"अचूक , करा , ठीक",
analytics,æn lˈɪt ɪks,an-l-it-iks,6,4,NOUN,a process in which a computer examines information using mathematical methods in order to find useful patterns.,content analytics is relevant in many industries’,,inquiring,investigative,problem-solving,,"విశ్లేషణలు,విశ్లేషణాత్మక.",,"विश्लेषणात्मक, विश्लेषण संबंधी",
apprehended,ˌæp rɪˈhɛnd,ap-ri-hend,6,5,VERB,to catch and arrest someone who has not obeyed the law.,The police have finally apprehended the killer,,arrest,capture,catch,,పట్టుకున్నారు.,,"पकड़ना,अनुभव करना,डरना",
attire,əˈtaɪər,uh-tahyuh r,6,2,NOUN,"clothes, especially of a particular or formal type.",I hardly think jeans are appropriate attire for a wedding.,,costume,ensemble,garments,,"ఉడుపు, వేషము,దుస్తులు, వస్త్రములు.",,"आभूषण , वस्त्र,सज",
blow,bloʊ,bloh,6,1,VERB,"to move and make currents of air, or to be moved or make something move on a current of air.",The letter blew away and I had to run after it.,,blast,gust,rush,,"దెబ్బ,  ఆపద, పుష్పించడం, ఊరడం, వీచు, శపించు.",,"उड़ा देना,तूफ़ान,बजाना",
boycott,ˈbɔɪ kɒt,boi-kot,6,1,VERB,to refuse to buy a product or take part in an activity as a way of expressing strong disapproval.,The union called on its members to boycott the meeting.,,refuse to take part in,spurn,stay away from,,"బహిష్కరణ, వెలి, బహిష్కరించు, వెలివేయు.",,"बहिष्कार,बायकाट",
chord,kɔrd,kawrd,6,5,NOUN,"A group of (typically three or more) notes sounded together, as a basis of harmony.",She strummed a few chords on her guitar.,,tones,music,note.,,"వాద్యసాధనాల తీగె, చాపకర్ణం, దారం",,"तार,तन्त्री,डोरी.",
citizen,/ˈsɪtɪz(ə)n/,,6,3,NOUN,"A legally recognized subject or national of a state or commonwealth, either native or naturalized.",Every citizen of the nation enjoys the cultural legacy afforded by song.,,an inhabitant of a city,townsman.,,,"పురజనుఁడు, పౌరుఁడు. నగరవాసి.",,"नगरवासी,पौर,स्थानिक.",
collaborate,/kəˈlæb.ə.reɪt/,kuh-lab-uh-reyt,6,5,VERB,Work jointly on an activity or project.,Two writers collaborated on the script for the film.,,cooperate,unite.,work together,,"కలిసి పనిచేయు, సహకరించు, భాగస్వామి అగు.",,"मिलकर काम करना,सहयोग करना",
conclude,kənˈklud,kuh n-klood,6,1,VERB,"to end a speech, meeting, or piece of writing.",the talk concluded with slides.,,be over,finish,terminate,,"ముగించు, ముగియు; నిశ్చయించుకొను; ఏర్పరచు.",,"पूरा करना,निश्चय करना,निश्चित करना",
deploy,dɪˈplɔɪ,dih-ploi,6,1,VERB,"to use something or someone, especially in an effective way.",My job doesn't really allow me fully to deploy my skills/talents.,,establish,install,situate,,"నియోగించు, రంగంలోకి దించు, విస్తరింపచేయు, వ్యూహం ఏర్పరుచు.",,"विस्तार करना,  तैनात किना,फैलना या फैलाना.",
deployment,/dɪˈplɔɪm(ə)nt/,dih-ploi-ment,6,2,NOUN,.the use of something or someone in an effective way.,‘they agreed to round up their troops for immediate deployment’,,grouping,organization,placement,,విస్తరణ.,,"फैलाव, प्रस्तरण",
despite,/dɪˈspaɪt/,dih-spahyt,6,5,PREPOSITION,Without being affected by; in spite of.,I still enjoyed the week despite the weather,,in spite of,in the face of,regardless,undeterred by.,"లక్ష్యపెట్టకుండ, విరుద్ధముగా, అతిక్రమించి, ఉల్లంఘించి, అయినప్పటికిన.",,"बावजूद , होने पर भी",
enforce,ɛn -ˈfoʊrs,en-fohrs,6,1,VERB,"Compel observance of or compliance with (a law, rule, or obligation).",the role of the police is to enforce the law,,administer,carry out,impose,,"అమలు పరచు, ఆచరణలోకి తెచ్చు, బలవంతం చేయు.",,"आचरण करना,दबाना,प्रचलित करना.",
enforcement,/ɛnˈfɔrs mənt/,en-fawrs-muh nt,6,5,NOUN,the process of making sure that people obey something such as a law or rule.,the strict enforcement of environmental regulations’,,administration,execution,pursuance,,"అమలు, దావావేయడం, జప్తుచేయడం, ఆచరణ.",,"अमल ,आचरण, जबरदस्ती",
figure out,/ˈfɪɡə aʊt/,fig-yer-out,6,2,PHRASEL VERB,Solve or discover the cause of a problem.,We couldn't figure out where all the money had gone.,He was trying to figure out why the car wasn't working.,understand,work out,,,"అర్ధం చేసుకొను, భావనచేసుట",,,
generic,/dʒəˈnɛr ɪk/,juh-ner-ik,6,2,ADJECTIVE,Characteristic of or relating to a class or group of things; not specific.,Jazz is a generic term for a wide range of different styles of music.,,collective,common,general,,"సాధారణ, జాతి వ్యాప్తి.",,"जातिगत, वर्गीय, साधारण",
